comparison,left_arm,right_arm,filename,thinking_cosine,action_cosine
sampling_baseline,recompute_run1,recompute_run2,inv019--internal_comms_incident_update--internal-comms--occ3.txt,0.9651975631713867,0.9936721920967102
sampling_baseline,recompute_run1,recompute_run2,inv020--doc_coauthoring_design_doc--doc-coauthoring--occ3.txt,0.9165928959846497,0.8644741177558899
sampling_baseline,recompute_run1,recompute_run2,inv021--mcp_server_and_spec--mcp-builder--occ3.txt,0.9633808135986328,1.0
sampling_baseline,recompute_run1,recompute_run2,inv021--web_artifact_with_theme--web-artifacts-builder--occ3.txt,0.9612689018249512,0.5524470806121826
sampling_baseline,recompute_run1,recompute_run2,inv022--mcp_server_and_spec--doc-coauthoring--occ3.txt,0.9146942496299744,0.9852787852287292
sampling_baseline,recompute_run1,recompute_run2,inv022--web_artifact_with_theme--theme-factory--occ3.txt,0.9509773254394531,0.9747617244720459
sampling_baseline,recompute_run1,recompute_run2,inv023--launch_poster_page_pack--canvas-design--occ3.txt,0.9567340016365051,0.785950779914856
sampling_baseline,recompute_run1,recompute_run2,inv024--launch_poster_page_pack--web-artifacts-builder--occ3.txt,0.9169710874557495,0.9230334758758545
sampling_baseline,recompute_run1,recompute_run2,inv024--slack_launch_pack--internal-comms--occ3.txt,0.9521217346191406,0.951236367225647
sampling_baseline,recompute_run1,recompute_run2,inv025--launch_poster_page_pack--theme-factory--occ3.txt,0.9489652514457703,0.9296082258224487
sampling_baseline,recompute_run1,recompute_run2,inv025--slack_launch_pack--slack-gif-creator--occ3.txt,0.9458627104759216,0.9766656756401062
sampling_baseline,recompute_run1,recompute_run2,inv026--slack_launch_pack--brand-guidelines--occ3.txt,0.971790075302124,0.9562050104141235
same_seed_recompute_vs_rope,recompute_run1,rope,inv019--internal_comms_incident_update--internal-comms--occ3.txt,0.9702757596969604,0.9959355592727661
same_seed_recompute_vs_rope,recompute_run1,rope,inv020--doc_coauthoring_design_doc--doc-coauthoring--occ3.txt,0.9628043174743652,0.9598904848098755
same_seed_recompute_vs_rope,recompute_run1,rope,inv021--mcp_server_and_spec--mcp-builder--occ3.txt,0.9586288928985596,1.0
same_seed_recompute_vs_rope,recompute_run1,rope,inv021--web_artifact_with_theme--web-artifacts-builder--occ3.txt,0.9607844352722168,1.0
same_seed_recompute_vs_rope,recompute_run1,rope,inv022--mcp_server_and_spec--doc-coauthoring--occ3.txt,0.9164999723434448,0.8601857423782349
same_seed_recompute_vs_rope,recompute_run1,rope,inv022--web_artifact_with_theme--theme-factory--occ3.txt,0.9499590396881104,0.8328942060470581
same_seed_recompute_vs_rope,recompute_run1,rope,inv023--launch_poster_page_pack--canvas-design--occ3.txt,0.9624570608139038,0.7746099233627319
same_seed_recompute_vs_rope,recompute_run1,rope,inv024--launch_poster_page_pack--web-artifacts-builder--occ3.txt,0.9693046808242798,0.9178375601768494
same_seed_recompute_vs_rope,recompute_run1,rope,inv024--slack_launch_pack--internal-comms--occ3.txt,0.9615540504455566,0.993598461151123
same_seed_recompute_vs_rope,recompute_run1,rope,inv025--launch_poster_page_pack--theme-factory--occ3.txt,0.9208641648292542,0.9740045070648193
same_seed_recompute_vs_rope,recompute_run1,rope,inv025--slack_launch_pack--slack-gif-creator--occ3.txt,0.9506077766418457,0.967307448387146
same_seed_recompute_vs_rope,recompute_run1,rope,inv026--slack_launch_pack--brand-guidelines--occ3.txt,0.9581944942474365,0.9875134229660034
cross_seed_recompute_vs_rope,recompute_run2,rope,inv019--internal_comms_incident_update--internal-comms--occ3.txt,0.9673793911933899,0.9925135374069214
cross_seed_recompute_vs_rope,recompute_run2,rope,inv020--doc_coauthoring_design_doc--doc-coauthoring--occ3.txt,0.9417496919631958,0.8574273586273193
cross_seed_recompute_vs_rope,recompute_run2,rope,inv021--mcp_server_and_spec--mcp-builder--occ3.txt,0.9654995799064636,1.0
cross_seed_recompute_vs_rope,recompute_run2,rope,inv021--web_artifact_with_theme--web-artifacts-builder--occ3.txt,0.9469137191772461,0.5524470806121826
cross_seed_recompute_vs_rope,recompute_run2,rope,inv022--mcp_server_and_spec--doc-coauthoring--occ3.txt,0.9524346590042114,0.8665952682495117
cross_seed_recompute_vs_rope,recompute_run2,rope,inv022--web_artifact_with_theme--theme-factory--occ3.txt,0.9531508684158325,0.8352511525154114
cross_seed_recompute_vs_rope,recompute_run2,rope,inv023--launch_poster_page_pack--canvas-design--occ3.txt,0.9700784087181091,0.9606673717498779
cross_seed_recompute_vs_rope,recompute_run2,rope,inv024--launch_poster_page_pack--web-artifacts-builder--occ3.txt,0.9347115755081177,0.9237915277481079
cross_seed_recompute_vs_rope,recompute_run2,rope,inv024--slack_launch_pack--internal-comms--occ3.txt,0.9551537036895752,0.9466713666915894
cross_seed_recompute_vs_rope,recompute_run2,rope,inv025--launch_poster_page_pack--theme-factory--occ3.txt,0.947424590587616,0.9407843351364136
cross_seed_recompute_vs_rope,recompute_run2,rope,inv025--slack_launch_pack--slack-gif-creator--occ3.txt,0.9587230682373047,0.9839679002761841
cross_seed_recompute_vs_rope,recompute_run2,rope,inv026--slack_launch_pack--brand-guidelines--occ3.txt,0.9652165770530701,0.9561275243759155
